"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 17, 2019","436.00","435.25","441.50","431.50","125.87K","0.17%"
"Jul 16, 2019","435.25","437.75","440.75","429.00","144.49K","-1.30%"
"Jul 15, 2019","441.00","459.25","460.00","439.75","164.47K","-1.89%"
"Jul 12, 2019","449.50","447.75","457.00","447.75","0.27K","0.39%"
"Jul 11, 2019","447.75","433.25","448.00","433.25","0.60K","3.11%"
"Jul 10, 2019","434.25","430.00","434.75","428.00","0.49K","0.58%"
"Jul 09, 2019","431.75","437.25","437.75","429.25","0.45K","-1.54%"
"Jul 08, 2019","438.50","440.75","442.75","432.00","2.08K","1.04%"
"Jul 05, 2019","434.00","433.00","435.50","427.00","2.13K","0.23%"
"Jul 03, 2019","433.00","417.00","433.75","417.00","3.47K","4.72%"
"Jul 02, 2019","413.50","412.50","415.50","408.25","6.53K","0.36%"
"Jul 01, 2019","412.00","424.25","424.75","410.25","13.48K","-1.96%"
"Jun 28, 2019","420.25","439.00","455.00","411.00","34.51K","-4.49%"
"Jun 27, 2019","440.00","443.00","445.50","438.50","141.13K","-0.73%"
"Jun 26, 2019","443.25","447.00","447.25","440.75","158.88K","-0.95%"
"Jun 25, 2019","447.50","451.00","453.00","446.50","158.43K","0.17%"
"Jun 24, 2019","446.75","442.25","447.75","440.25","172.09K","1.02%"
"Jun 21, 2019","442.25","452.00","454.00","441.75","251.09K","-1.72%"
"Jun 20, 2019","450.00","441.50","450.75","436.50","198.63K","2.04%"
"Jun 19, 2019","441.00","449.75","451.75","438.25","193.33K","-1.95%"
"Jun 18, 2019","449.75","455.50","458.00","442.75","221.47K","-1.10%"
"Jun 17, 2019","454.75","458.25","464.25","450.50","279.48K","0.39%"
"Jun 14, 2019","453.00","442.00","457.25","441.75","312.81K","2.49%"
"Jun 13, 2019","442.00","429.75","442.75","429.50","402.15K","2.79%"
"Jun 12, 2019","430.00","427.75","434.50","424.00","331.36K","0.53%"
"Jun 11, 2019","427.75","415.00","430.25","408.25","360.32K","2.89%"
"Jun 10, 2019","415.75","413.00","416.50","409.00","279.95K","0.00%"
"Jun 07, 2019","415.75","421.00","423.50","415.00","227.75K","-1.13%"
"Jun 06, 2019","420.50","414.50","421.50","407.00","279.01K","1.39%"
"Jun 05, 2019","414.75","424.25","424.75","412.25","231.86K","-2.47%"
"Jun 04, 2019","425.25","435.00","436.00","421.25","306.70K","0.24%"
"Jun 03, 2019","424.25","426.25","430.75","418.25","288.44K","-0.64%"
"May 31, 2019","427.00","435.00","437.50","423.25","302.17K","-2.12%"
"May 30, 2019","436.25","416.50","436.75","413.25","324.91K","4.18%"
"May 29, 2019","418.75","429.25","438.00","412.25","484.44K","-0.36%"
"May 28, 2019","420.25","408.00","421.00","407.50","417.68K","3.96%"
"May 24, 2019","404.25","390.50","404.75","389.75","299.95K","3.72%"
"May 23, 2019","389.75","394.00","399.00","387.00","340.12K","-1.20%"
"May 22, 2019","394.50","393.25","396.50","386.25","291.26K","0.06%"
"May 21, 2019","394.25","393.25","399.00","391.25","451.26K","1.35%"
"May 20, 2019","389.00","386.00","391.50","385.75","358.73K","1.50%"
"May 17, 2019","383.25","380.00","384.75","380.00","319.50K","1.12%"
"May 16, 2019","379.00","368.75","380.75","368.75","248.51K","2.57%"
"May 15, 2019","369.50","369.00","380.00","368.00","336.99K","2.50%"
"May 14, 2019","360.50","354.25","360.75","353.50","0.20K","3.74%"
"May 13, 2019","347.50","335.50","348.25","335.50","0.29K","1.46%"
"May 10, 2019","342.50","346.50","346.50","338.25","0.31K","-0.58%"
"May 09, 2019","344.50","350.00","350.00","344.00","0.66K","-3.03%"
"May 08, 2019","355.25","356.50","356.50","353.25","0.86K","-0.77%"
"May 07, 2019","358.00","357.00","359.25","355.00","1.16K","0.63%"
"May 06, 2019","355.75","352.50","356.00","349.00","1.71K","-2.00%"
"May 03, 2019","363.00","362.25","363.25","359.50","1.65K","0.28%"
"May 02, 2019","362.00","361.00","362.50","358.50","4.31K","0.56%"
"May 01, 2019","360.00","353.50","360.50","353.50","8.29K","1.91%"
"Apr 30, 2019","353.25","352.25","354.00","349.25","14.38K","0.36%"
"Apr 29, 2019","352.00","353.25","356.00","351.25","250.77K","0.21%"
"Apr 26, 2019","351.25","347.25","353.50","347.00","166.75K","1.08%"
"Apr 25, 2019","347.50","346.00","351.00","342.25","236.88K","0.22%"
"Apr 24, 2019","346.75","351.00","352.50","345.50","241.39K","-1.28%"
"Apr 23, 2019","351.25","354.75","355.00","350.25","194.77K","-0.99%"
"Apr 22, 2019","354.75","359.00","359.00","354.25","144.71K","-1.05%"
"Apr 19, 2019","358.50","358.50","358.50","358.50","-","0.00%"
"Apr 18, 2019","358.50","358.00","359.25","357.00","102.30K","0.07%"
"Apr 17, 2019","358.25","358.25","360.00","356.75","148.18K","-0.21%"
"Apr 16, 2019","359.00","362.50","362.50","357.25","192.35K","-1.03%"
"Apr 15, 2019","362.75","361.25","364.25","361.00","208.54K","0.48%"
"Apr 12, 2019","361.00","360.25","361.50","358.50","95.87K","0.28%"
"Apr 11, 2019","360.00","361.25","363.00","358.50","264.73K","-0.48%"
"Apr 10, 2019","361.75","360.25","362.75","360.00","253.30K","0.49%"
"Apr 09, 2019","360.00","359.75","362.25","355.25","275.45K","0.00%"
"Apr 08, 2019","360.00","362.25","363.50","359.50","269.56K","-0.69%"
"Apr 05, 2019","362.50","364.50","364.75","360.50","273.06K","-0.75%"
"Apr 04, 2019","365.25","362.75","366.25","362.75","159.33K","0.69%"
"Apr 03, 2019","362.75","361.25","364.75","360.50","135.85K","0.35%"
"Apr 02, 2019","361.50","362.25","363.50","359.25","117.19K","-0.07%"
"Apr 01, 2019","361.75","356.50","363.00","356.50","239.35K","1.47%"
"Mar 29, 2019","356.50","373.75","375.00","356.00","441.01K","-4.68%"
"Mar 28, 2019","374.00","373.75","374.75","372.00","105.83K","0.07%"
"Mar 27, 2019","373.75","376.75","377.00","372.00","127.92K","-0.93%"
"Mar 26, 2019","377.25","379.25","380.50","375.50","165.18K","-0.66%"
"Mar 25, 2019","379.75","378.75","380.75","376.75","155.85K","0.40%"
"Mar 22, 2019","378.25","375.75","380.75","375.50","222.58K","0.53%"
"Mar 21, 2019","376.25","371.00","377.50","370.50","220.23K","1.28%"
"Mar 20, 2019","371.50","371.50","372.50","368.75","101.48K","0.07%"
"Mar 19, 2019","371.25","372.00","373.75","367.75","159.38K","-0.07%"
"Mar 18, 2019","371.50","374.00","375.50","370.25","169.24K","-0.47%"
"Mar 15, 2019","373.25","369.25","373.75","369.00","197.27K","3.25%"
"Mar 14, 2019","361.50","360.25","363.25","360.00","0.39K","1.19%"
"Mar 13, 2019","357.25","357.25","359.50","355.00","0.32K","0.21%"
"Mar 12, 2019","356.50","353.25","357.75","352.75","0.80K","1.13%"
"Mar 11, 2019","352.50","357.50","357.50","353.00","1.75K","-0.63%"
"Mar 08, 2019","354.75","357.75","358.25","354.00","2.27K","-0.35%"
"Mar 07, 2019","356.00","362.25","362.25","355.75","2.48K","-1.79%"
"Mar 06, 2019","362.50","366.00","366.00","361.00","2.92K","-0.96%"
"Mar 05, 2019","366.00","366.00","367.25","364.50","4.57K","0.27%"
"Mar 04, 2019","365.00","365.25","368.00","364.50","5.27K","0.27%"
"Mar 01, 2019","364.00","361.75","364.00","357.50","12.36K","0.55%"
"Feb 28, 2019","362.00","363.75","364.75","361.25","23.51K","-0.48%"
"Feb 27, 2019","363.75","366.00","368.25","362.50","189.22K","-0.68%"
"Feb 26, 2019","366.25","370.75","371.25","365.50","242.77K","-1.15%"
"Feb 25, 2019","370.50","377.75","378.50","370.00","344.71K","-1.27%"
"Feb 22, 2019","375.25","374.75","377.75","374.50","316.66K","-0.07%"
"Feb 21, 2019","375.50","371.00","378.50","370.50","257.19K","1.28%"
"Feb 20, 2019","370.75","371.50","373.50","368.50","310.67K","0.27%"
"Feb 19, 2019","369.75","374.25","376.25","369.00","230.71K","-1.40%"
"Feb 18, 2019","375.00","374.75","375.00","374.75","-","0.07%"
"Feb 17, 2019","374.75","374.75","374.75","374.75","-","0.00%"
"Feb 15, 2019","374.75","374.75","376.50","373.00","209.10K","0.00%"
"Feb 14, 2019","374.75","378.75","379.00","374.00","225.29K","-1.06%"
"Feb 13, 2019","378.75","377.50","379.00","376.25","243.88K","0.13%"
"Feb 12, 2019","378.25","373.50","378.75","373.00","291.26K","1.48%"
"Feb 11, 2019","372.75","374.50","375.00","371.75","309.36K","-0.47%"
"Feb 10, 2019","374.50","374.25","374.50","374.25","-","0.07%"
"Feb 08, 2019","374.25","376.50","381.75","374.00","340.78K","-0.60%"
"Feb 07, 2019","376.50","379.75","380.25","376.25","259.74K","-0.92%"
"Feb 06, 2019","380.00","380.50","380.75","379.00","145.15K","-0.20%"
"Feb 05, 2019","380.75","379.50","381.25","377.00","171.95K","0.40%"
"Feb 04, 2019","379.25","377.75","379.75","376.50","145.83K","0.26%"
"Feb 03, 2019","378.25","378.25","378.25","378.25","-","0.00%"
"Feb 01, 2019","378.25","376.50","380.75","376.50","151.47K","0.46%"
"Jan 31, 2019","376.50","381.00","381.50","375.75","205.75K","-1.25%"
"Jan 30, 2019","381.25","377.75","381.50","377.50","198.90K","1.06%"
"Jan 29, 2019","377.25","379.75","380.75","376.00","187.02K","-0.66%"
"Jan 28, 2019","379.75","379.50","381.00","378.00","102.14K","0.00%"
"Jan 27, 2019","379.75","380.00","380.00","379.75","-","-0.13%"
"Jan 25, 2019","380.25","377.00","380.50","376.00","134.09K","0.86%"
"Jan 24, 2019","377.00","378.75","379.75","375.75","124.11K","-0.46%"
"Jan 23, 2019","378.75","379.50","381.75","378.00","127.61K","-0.07%"
"Jan 22, 2019","379.00","380.75","382.25","376.75","211.43K","-0.39%"
"Jan 20, 2019","380.50","380.50","380.50","380.50","-","-0.33%"
"Jan 18, 2019","381.75","379.75","383.00","377.75","191.03K","0.46%"
"Jan 17, 2019","380.00","374.00","381.50","373.75","207.63K","1.60%"
"Jan 16, 2019","374.00","372.75","375.00","372.50","164.72K","0.74%"
"Jan 15, 2019","371.25","379.50","381.00","371.00","251.26K","-1.92%"
"Jan 14, 2019","378.50","378.50","381.00","377.00","144.74K","0.00%"
"Jan 13, 2019","378.50","378.25","378.50","378.25","-","0.07%"
"Jan 11, 2019","378.25","377.00","379.25","376.75","131.82K","0.53%"
"Jan 10, 2019","376.25","381.50","382.75","376.00","181.39K","-1.51%"
"Jan 09, 2019","382.00","380.50","383.50","380.50","192.06K","0.53%"
"Jan 08, 2019","380.00","382.50","384.50","379.00","172.29K","-0.59%"
"Jan 07, 2019","382.25","382.25","384.00","381.75","110.62K","0.00%"
"Jan 06, 2019","382.25","382.75","382.75","382.00","-","-0.20%"
"Jan 04, 2019","383.00","380.00","383.50","379.75","178.17K","0.86%"
"Jan 03, 2019","379.75","375.50","380.50","374.75","101.46K","1.06%"
"Jan 02, 2019","375.75","375.25","377.75","374.00","104.72K","0.20%"
"Dec 31, 2018","375.00","375.50","377.00","372.75","91.13K","-0.13%"
"Dec 28, 2018","375.50","374.50","377.50","374.50","89.17K","0.27%"
"Dec 27, 2018","374.50","373.25","376.50","373.25","96.24K","0.33%"
"Dec 26, 2018","373.25","378.25","379.25","372.50","97.15K","-1.19%"
"Dec 24, 2018","377.75","378.25","379.00","375.25","54.84K","-0.20%"
"Dec 21, 2018","378.50","375.50","379.50","374.75","138.73K","0.87%"
"Dec 20, 2018","375.25","381.75","382.75","375.00","205.50K","-1.70%"
"Dec 19, 2018","381.75","385.00","385.25","381.50","107.24K","-0.97%"
"Dec 18, 2018","385.50","383.75","386.50","383.25","131.88K","0.39%"
"Dec 17, 2018","384.00","384.25","386.00","383.25","97.62K","1.92%"
"Dec 14, 2018","376.75","378.00","379.00","374.25","0.36K","0.33%"
"Dec 13, 2018","375.50","375.00","377.50","374.00","0.23K","-0.20%"
"Dec 12, 2018","376.25","375.50","378.00","375.50","0.63K","0.33%"
"Dec 11, 2018","375.00","373.75","376.50","372.75","1.37K","0.20%"
"Dec 10, 2018","374.25","374.25","376.00","372.75","1.66K","0.07%"
"Dec 07, 2018","374.00","371.75","374.75","371.50","2.24K","0.54%"
"Dec 06, 2018","372.00","374.00","374.50","369.25","2.30K","-0.60%"
"Dec 05, 2018","374.25","373.50","376.00","372.50","2.09K","0.00%"
"Dec 04, 2018","374.25","370.00","374.25","369.50","2.93K","0.81%"
"Dec 03, 2018","371.25","372.75","374.00","369.50","7.58K","1.30%"
"Nov 30, 2018","366.50","360.75","366.75","360.50","17.99K","1.73%"
"Nov 29, 2018","360.25","360.50","363.00","359.00","186.62K","-0.07%"
"Nov 28, 2018","360.50","356.25","361.50","356.00","221.95K","1.12%"
"Nov 27, 2018","356.50","356.00","358.50","355.50","248.13K","0.14%"
"Nov 26, 2018","356.00","359.50","360.50","355.25","331.20K","-0.84%"
"Nov 23, 2018","359.00","361.00","361.75","358.75","174.04K","-0.62%"
